video_filename	blacklist	activity	 motion_score
da3971ee_10_0000.avi			1.24474
da3971ee_10_0001.avi			4.92897
da3971ee_10_0002.avi			4.30659
da3971ee_10_0003.avi			4.36702
da3971ee_10_0004.avi			4.283
da3971ee_10_0005.avi			5.984319999999999
da3971ee_10_0006.avi			5.70172
da3971ee_10_0007.avi			4.91937
da3971ee_10_0008.avi			4.497380000000001
da3971ee_10_0009.avi			4.2016
da3971ee_10_0010.avi			4.16291
da3971ee_10_0011.avi			4.28428
da3971ee_10_0012.avi			4.2615
da3971ee_10_0013.avi			4.2304900000000005
da3971ee_10_0014.avi			4.31444
da3971ee_10_0015.avi			4.22834
da3971ee_10_0016.avi			4.30697
da3971ee_10_0017.avi			4.1830099999999995
da3971ee_10_0018.avi			4.3371
da3971ee_10_0019.avi			4.34508
da3971ee_10_0020.avi			6.25474
da3971ee_10_0021.avi			4.6074
da3971ee_10_0022.avi			4.72241
da3971ee_10_0023.avi			6.37312
da3971ee_10_0024.avi			5.344609999999999
da3971ee_10_0025.avi			5.47548
da3971ee_10_0026.avi			7.09753
da3971ee_10_0027.avi		talk	5.7819400000000005
da3971ee_10_0028.avi		talk	4.82603
da3971ee_10_0029.avi		talk	4.8417900000000005
da3971ee_10_0030.avi		talk	5.35608
da3971ee_10_0031.avi		talk	4.75061
da3971ee_10_0032.avi			4.90699
da3971ee_10_0033.avi			6.5233
da3971ee_10_0034.avi			7.56646
da3971ee_10_0035.avi			5.820209999999999
da3971ee_10_0036.avi			5.0959900000000005
da3971ee_10_0037.avi			6.576560000000001
da3971ee_10_0038.avi			7.0090699999999995
da3971ee_10_0039.avi			6.052169999999999
da3971ee_10_0040.avi			6.79201
da3971ee_10_0041.avi			9.64055
da3971ee_10_0042.avi			5.240530000000001
da3971ee_10_0043.avi			5.81013
da3971ee_10_0044.avi			4.80968
da3971ee_10_0045.avi			4.61212
da3971ee_10_0046.avi			4.62913
da3971ee_10_0047.avi			4.630809999999999
da3971ee_10_0048.avi			4.91171
da3971ee_10_0049.avi			4.95648
da3971ee_10_0050.avi			4.75636
da3971ee_10_0051.avi			4.661969999999999
da3971ee_10_0052.avi			4.82852
da3971ee_10_0053.avi			4.75108
da3971ee_10_0054.avi			4.69651
da3971ee_10_0055.avi			4.81537
da3971ee_10_0056.avi			4.69573
da3971ee_10_0057.avi			4.72928
da3971ee_10_0058.avi		sleep	4.76804
da3971ee_10_0059.avi		sleep	4.80537
da3971ee_10_0060.avi		sleep	4.65153
da3971ee_10_0061.avi			4.84007
da3971ee_10_0062.avi			5.31845
da3971ee_10_0063.avi			4.894909999999999
da3971ee_10_0064.avi			4.92209
da3971ee_10_0065.avi			4.58533
