datafile,label,start_vid,start_t,end_vid,end_t
a0f66459_7,sleep,0,0,7,0
a0f66459_7,sleep,426,0,444,60
a0f66459_7,sleep,501,120,507,0
a0f66459_7,sleep,513,120,578,120
a0f66459_7,sleep,583,60,617,60
a0f66459_7,sleep,627,60,691,0
a0f66459_7,smartphone,40,120,47,60
a0f66459_7,smartphone,59,60,78,0
a0f66459_7,smartphone,110,60,121,0
a0f66459_7,smartphone,130,60,136,0
a0f66459_7,smartphone,164,60,172,0
a0f66459_7,smartphone,288,60,298,0
a0f66459_7,smartphone,303,60,322,0
a0f66459_7,smartphone,380,60,384,120
a0f66459_7,smartphone,412,120,416,60
a0f66459_7,smartphone,694,60,700,0
a0f66459_7,talk,110,120,116,120
a0f66459_7,talk,212,0,217,60
a0f66459_7,talk,218,120,226,60
a0f66459_7,talk,227,120,233,60
a0f66459_7,talk,234,60,240,60
a0f66459_7,talk,248,60,261,60
a0f66459_7,TV,20,120,27,0
a0f66459_7,TV,28,120,34,120
a0f66459_7,TV,80,60,92,0
a0f66459_7,TV,93,120,100,60
a0f66459_7,TV,151,60,164,0
a0f66459_7,TV,188,120,210,0
a0f66459_7,TV,347,60,370,60
a0f66459_7,TV,387,0,391,120
a0f66459_7,TV,701,120,713,0
