datafile,label,start_vid,start_t,end_vid,end_t
a0f66459_8,sleep,24,60,48,0
a0f66459_8,sleep,330,0,337,120
a0f66459_8,sleep,399,120,406,0
a0f66459_8,sleep,456,60,462,0
a0f66459_8,sleep,543,0,546,120
a0f66459_8,sleep,554,0,588,0
a0f66459_8,sleep,594,120,631,0
a0f66459_8,sleep,640,0,646,0
a0f66459_8,sleep,655,0,664,120
a0f66459_8,sleep,671,120,674,0
a0f66459_8,sleep,678,120,691,60
a0f66459_8,sleep,696,60,704,0
a0f66459_8,sleep,711,0,720,60
a0f66459_8,sleep,726,60,739,60
a0f66459_8,smartphone,49,60,60,0
a0f66459_8,smartphone,134,0,137,120
a0f66459_8,smartphone,232,120,237,60
a0f66459_8,smartphone,294,0,302,0
a0f66459_8,smartphone,306,120,310,120
a0f66459_8,smartphone,362,120,367,0
a0f66459_8,computer,74,60,93,0
a0f66459_8,computer,112,120,118,60
a0f66459_8,computer,119,120,127,120
a0f66459_8,talk,191,120,201,0
a0f66459_8,talk,244,120,260,0
a0f66459_8,experiment,64,0,93,0
a0f66459_8,experiment,112,0,133,0
a0f66459_8,TV,0,0,5,120
a0f66459_8,TV,10,0,16,60
a0f66459_8,TV,141,0,156,0
a0f66459_8,TV,161,60,168,0
a0f66459_8,TV,185,60,191,60
a0f66459_8,TV,203,0,219,60
a0f66459_8,TV,221,60,225,60
a0f66459_8,TV,239,120,244,60
a0f66459_8,TV,270,0,276,0
a0f66459_8,TV,372,0,376,120
a0f66459_8,TV,386,60,390,120
